"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","","A","СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО","В данную секцию входит использование растительных и животных природных ресурсов, включая выращивание зерновых, содержание и разведение животных, получение древесины и других растений, животных или продуктов животного происхождения на ферме или в естественной среде обитания.","","","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"4","01.50","","0150","Смешанное сельское хозяйство","Этот класс включает смешанное растениеводческое и животноводческое производство без определенной специализации. Объем всех видов работ на фермах не является четко определенным. Этот подкласс включает выращивание культур в сочетании с животноводством в хозяйствах, в которых коэффициент специализации в одной области не превышает 66 процентов валовой продукции. Смешанные растениеводческие или смешанные животноводческие хозяйства не включены в данный подкласс, классифицируются по их основному виду деятельности.","","","This class includes the combined production of crops and animals without a specialised production of crops or animals. The size of the overall farming operation is not a determining factor. If either production of crops or animals in a given unit is 66% or more of standard gross margins, the combined activity should not be included here, but allocated to crop or animal farming.","","This class excludes:
- mixed crop farming, see groups 01.1 and 01.2
- mixed animal farming, see group 01.4"
"3","01.6","","016","Вспомогательные виды деятельности в области выращивания сельскохозяйственных культур","Данная группа включает дополнительные виды сельскохозяйственной деятельности, а также деятельность, схожую с сельскохозяйственной, но не направленную на производство продукции (сбор сельскохозяйственной продукции) за вознаграждение или на контрактной основе.","","","This group includes activities incidental to agricultural production and activities similar to agriculture not undertaken for production purposes (in the sense of harvesting agricultural products), done on a fee or contract basis.","Also included are post-harvest crop activities, aimed at preparing agricultural products for the primary market.",""
"4","01.61","","0161","Вспомогательные виды деятельности в области выращивания сельскохозяйственных культур","Этот класс включает:
- виды сельскохозяйственной деятельности за вознаграждение или на контрактной основе:
  • подготовку полей
  • внедрение сельскохозяйственных культур
  • обработку культур
  • опрыскивание, включая обработку с воздуха
  • обрезку плодовых деревьев и виноградников
  • посадку риса, прополку свеклы
  • сбор урожая
  • борьбу с вредителями (включая кроликов) сельского хозяйства
- принятие мер по поддержанию ландшафта и ландшафтные работы для защиты окружающей среды
- работу сельскохозяйственного поливного оборудования","","","This class includes:
- agricultural activities on a fee or contract basis:
  • preparation of fields
  • establishing a crop
  • treatment of crops
  • crop spraying, including by air
  • trimming of fruit trees and vines
  • transplanting of rice, thinning of beets
  • harvesting
  • pest control (including rabbits) in connection with agriculture
- maintenance of agricultural land in good agricultural and environmental condition
- operation of agricultural irrigation equipment","This class also includes:
- provision of agricultural machinery with operators and crew","This class excludes:
- post-harvest crop activities, see 01.63
- drainage of agricultural land, see 43.12
- landscape architecture, see 71.11
- activities of agronomists and agricultural economists, see 74.90
- landscape gardening, planting, see 81.30
- organisation of agricultural shows and fairs, see 82.30"
"4","01.62","","0162","Вспомогательные виды деятельности по разведению животных","Этот класс включает:
- виды сельскохозяйственной деятельности за вознаграждение или на контрактной основе:
  • услуги по стимулированию разведение, роста и продуктивности животных
  • обследование состояния стада, перегонку скота, выпас скота, выхолащивание домашней птицы, чистку клеток и т.д.
  • деятельность, связанную с искусственным осеменением
  • коневодство
  • стрижку овец
  • уход и содержание сельскохозяйственных животных","","","This class includes:
- agricultural activities on a fee or contract basis:
  • activities to promote propagation, growth and output of animals
  • herd testing services, droving services, agistment services, poultry caponising, coop cleaning etc.
  • activities related to artificial insemination
  • stud services
  • sheep shearing
  • farm animal boarding and care","This class also includes:
- activities of farriers","This class excludes:
- provision of space for animal boarding only, see 68.20
- veterinary activities, see 75.00
- vaccination of animals, see 75.00
- rental of animals (e.g. herds), see 77.39
- pet boarding, see 96.09"
"4","01.63","Agricultural products (Drying of…)

Problem statement: Drying is mentioned both in explanatory notes for agriculture and food manufacturing activities.

Solution: UN TSG decision for ISIC Rev.4, applicable also for NACE Rev. 2:

• NACE Rev. 2 class 01.63 (Post-harvest crop activities) includes drying activities where no manufacturing-type equipment is used, for example sun-drying of fruit and vegetables, air-drying of forage plants etc.
• Division 10 (Manufacture of food products) includes industrial drying activities (dehydration by artificial means), according to the product class: NACE Rev. 2 class 10.31 (Processing and preserving of potatoes) includes industrial dehydrating of potatoes, 10.39 (Other processing and preserving of fruit and vegetables) includes industrial dehydrating of other fruit and vegetables etc.

Decision date: 01.07.2007","0163","Виды сельскохозяйственной деятельности после сбора урожая","Этот класс включает:
подготовку сельскохозяйственных культур для первичного рынка, то есть, очистку, подрезку, сортировку, обработку
- очистку хлопка от семян
- подготовку табачных листьев, например, сушку
- подготовку какао-бобов, например, очищение
- обработку поверхности фруктов","","","This class includes:
- preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting
- cotton ginning
- preparation of tobacco leaves, e.g. drying
- preparation of cocoa beans, e.g. peeling
- waxing of fruit
- sun-drying of fruit and vegetables","","This class excludes:
- preparation of agricultural products by the producer, see corresponding class in groups 01.1, 01.2 or 01.3
- post-harvest activities aimed at improving the propagation quality of seed, see 01.64
- stemming and redrying of tobacco, see 12.00
- marketing activities of commission merchants and cooperative associations, see division 46
- wholesale of agricultural raw materials, see 46.2"
"4","01.64","","0164","Обработка и подготовка семян для размножения","Этот класс включает все виды сельскохозяйственной деятельности после сбора урожая, необходимые для улучшения качества семян, очищение семян от инородного материала путем пропускания семян через сито механическим способом или удаление семян, испорченных насекомыми и недозревших семян, так же как и удаление сырых семян, не пригодных для хранения. Данная деятельность включает сушку, очистку, сортировку и обработку семян и приведение их в надлежащее состояние. Обработка генетически модифицированных семян также включена в данный класс.","","","This class includes all post-harvest activities aimed at improving the propagation quality of seed through the removal of non-seed materials, undersized, mechanically or insect-damaged and immature seeds as well as removing the seed moisture to a safe level for seed storage. This activity includes the drying, cleaning, grading and treating of seeds until they are marketed. The treatment of genetically modified seeds is included here.","","This class excludes:
- growing of seeds, see groups 01.1 and 01.2
- processing of seeds to obtain oil, see 10.41
- research to develop or modify new forms of seeds, see 72.11"
"3","01.7","","017","Охота и отлов, включая предоставление услуг в этих областях","","","","","",""
"4","01.70","","0170","Охота и отлов, включая предоставление услуг в этих областях","Этот класс включает:
- охоту и отлов в коммерческих целях
- охоту, включая ловлю животных, для употребления в пищу, получения меха, кожи или для использования в исследовательских целях, для помещения в зоопарки или для выращивания в домашних условиях
- производство пушнины, кожи пресмыкающихся и птиц в результате охоты или ловли","","","This class includes:
- hunting and trapping on a commercial basis
- taking of animals (dead or alive) for food, fur, skin, or for use in research, in zoos or as pets
- production of fur skins, reptile or bird skins from hunting or trapping activities","This class also includes:
- land-based catching of sea mammals such as walrus and seal","This class excludes:
- production of fur skins, reptile or bird skins from ranching operations, see group 01.49
- raising of game animals on ranching operations, see 01.4
- catching of whales, see 03.11
- production of hides and skins originating from slaughterhouses, see 10.11
- hunting for sport or recreation and related service activities, see 93.19
- service activities to promote hunting and trapping, see 94.99"
"2","02","","02","Лесоводство и лесозаготовки","Данный раздел включает производство круглого лесоматериала, а также добычу и сбор дикорастущих лесных материалов. Кроме производства лесоматериалов лесоводство дает продукты, которые подвергаются незначительной обработке, такие как дрова, древесный уголь и круглый лесоматериал, используемый в необработанном виде (например, балки, балансовая древесина и т.д.). Данные виды деятельности могут осуществляться прямо в местах естественных лесов или лесонасаждений.","","","This division includes the production of roundwood as well as the extraction and gathering of wild growing non-wood forest products. Besides the production of timber, forestry activities result in products that undergo little processing, such as firewood, charcoal and roundwood used in an unprocessed form (e.g. pit-props, pulpwood etc.). These activities can be carried out in natural or planted forests.","","Excluded is further processing of wood beginning with sawmilling and planning of wood, see division 16."
"3","02.1","","021","Лесоводство и прочая лесохозяйственная деятельность","","","","","",""
"4","02.10","","0210","Лесоводство и прочая лесохозяйственная деятельность","Этот класс включает:
- выращивание строевого леса: посадку, пересадку, высадку саженцев, прореживание и охрану лесов и лесосек
- выращивание подлеска, балансовой древесины и дров
- функционирование лесопитомника

Данные виды деятельности могут осуществляться прямо в местах естественных лесов или лесонасаждений.","","","This class includes:
- growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts
- growing of coppice, pulpwood and fire wood
- operation of forest tree nurseries

These activities can be carried out in natural or planted forests.","","This class excludes:
- growing of Christmas trees, see 01.29
- operation of tree nurseries, except for forest trees, see 01.30
- gathering of mushrooms and other wild growing non-wood forest products, see 02.30
- production of wood chips and particles, see 16.10"
"3","02.2","","022","Лесозаготовки","","","","","",""
"4","02.20","","0220","Лесозаготовки","Этот класс включает:
- производство круглого лесоматериала для индустрии, основанной на производстве лесоматериалов
- производство круглого лесоматериала, используемого в необработанной форме, такого как рейки, изгороди, шесты и жерди
- сбор и производство древесины для топки
- сбор и переработку остатков древесины для топки после заготовок лесоматериалов
- производство древесного угля в лесу (традиционным методом)

Данный вид деятельности подразумевает выпуск бревен или дров.","","","This class includes:
- production of roundwood for forest-based manufacturing industries
- production of roundwood used in an unprocessed form such as pit-props, fence posts and utility poles
- gathering and production of wood for energy
- gathering and production of forest harvesting residues for energy
- production of charcoal in the forest (using traditional methods)

The output of this activity can take the form of logs or fire wood.","","This class excludes:
- growing of Christmas trees, see 01.29
- growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts, see 02.10
- gathering of wild growing non-wood forest products, see 02.30
- production of wood chips and particles, see 16.10
- production of charcoal through distillation of wood, see 20.14"
