"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ROLNICTWO, LEŚNICTWO I RYBACTWO","Sekcja ta obejmuje działalności związane z:
-   eksploatacją naturalnych zasobów roślinnych i zwierzęcych,
-   uprawą zbóż i innych roślin uprawnych,
-   chowem i hodowlą zwierząt,
-   pozyskiwaniem drewna i surowców leśnych,
-   pozyskiwaniem zwierząt lub produktów zwierzęcych z gospodarstw rolnych lub ich naturalnego środowiska.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"4","01.21","Uprawa winogron","Klasa ta obejmuje:
-    uprawę winogron na wino i winogron stołowych w winnicach.","","Klasa ta nie obejmuje:
-    produkcji wina, sklasyfikowanej w 11.02.","","0121","This class includes:
- growing of wine grapes and table grapes in vineyards","","This class excludes:
- manufacture of wine, see 11.02"
"4","01.22","Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych","Klasa ta obejmuje uprawę drzew i krzewów owocowych tropikalnych i podzwrotnikowych:
-    awokado,
-    bananów i plantanów,
-    daktyli,
-    fig,
-    mango,
-    papai,
-    ananasów,
-    pozostałych drzew i krzewów owocowych tropikalnych i podzwrotnikowych.","","","","0122","This class includes:
- growing of tropical and subtropical fruits:
  • avocados
  • bananas and plantains
  • dates
  • figs
  • mangoes
  • papayas
  • pineapples
  • other tropical and subtropical fruits","",""
"4","01.23","Uprawa drzew i krzewów owocowych cytrusowych","Klasa ta obejmuje uprawę drzew i krzewów owocowych cytrusowych:
-    grejpfrutów i pomelo,
-    cytryn i limonek,
-    pomarańczy,
-    mandarynek, w tym klementynek,
-    pozostałych drzew i krzewów owocowych cytrusowych.","","","","0123","This class includes:
- growing of citrus fruits:
  • grapefruit and pomelo
  • lemons and limes
  • oranges
  • tangerines, mandarins and clementines
  • other citrus fruits","",""
"4","01.24","Uprawa drzew i krzewów owoców ziarnkowych i pestkowych","Klasa ta obejmuje uprawę drzew i krzewów owocowych ziarnkowych i pestkowych:
-    jabłoni,
-    moreli,
-    czereśni i wiśni,
-    brzoskwiń i nektarynek,
-    gruszy,
-    pigwy,
-    śliwy i tarniny,
-    pozostałych drzew i krzewów owocowych ziarnkowych i pestkowych.","","","","0124","This class includes:
- growing of pome fruits and stone fruits:
  • apples
  • apricots
  • cherries and sour cherries
  • peaches and nectarines
  • pears and quinces
  • plums and sloes
  • other pome fruits and stone fruits","",""
"4","01.25","Uprawa pozostałych drzew i krzewów owocowych oraz orzechów","Klasa ta obejmuje:
-    uprawę drzew i krzewów owocowych jagodowych:
 •     czarnej borówki,
 •     porzeczek,
 •     agrestu,
 •     owoców kiwi,
 •     malin,
 •     truskawek,
 •     pozostałych drzew i krzewów owocowych jagodowych,
-    produkcję nasion owoców,
-     uprawę orzechów jadalnych:
 •     migdałów,
 •     orzechów nerkowca,
 •     kasztanów jadalnych,
 •     orzechów laskowych,
 •     orzeszków pistacjowych,
 •     orzechów włoskich,
 •     pozostałych orzechów,
 -  uprawę pozostałych drzew i krzewów owocowych:
 •     chleba świętojańskiego.","","Klasa ta nie obejmuje:
-    uprawy orzechów kokosowych, sklasyfikowanej w 01.26.","","0125","This class includes:
- growing of berries:
  • blueberries
  • currants
  • gooseberries
  • kiwi fruit
  • raspberries
  • strawberries
  • other berries
- growing of fruit seeds
- growing of edible nuts:
  • almonds
  • cashew nuts
  • chestnuts
  • hazelnuts
  • pistachios
  • walnuts
  • other nuts
- growing of other tree and bush fruits:
  • locust beans","","This class excludes:
- growing of coconuts, see 01.26"
"4","01.26","Uprawa drzew oleistych","Klasa ta obejmuje uprawę drzew oleistych na owoce:
-    orzechów kokosowych,
-    oliwek,
-    olejowców,
-    pozostałych drzew oleistych.","","Klasa ta nie obejmuje:
-    produkcji nasion soi, orzechów ziemnych i pozostałych nasion oleistych, sklasyfikowanej w 01.11.","","0126","This class includes:
- growing of oleaginous fruits:
  • coconuts
  • olives
  • oil palms
  • other oleaginous fruits","","This class excludes:
- growing of soya beans, groundnuts and other oil seeds, see 01.11"
"4","01.27","Uprawa roślin służących do produkcji napojów","Klasa ta obejmuje uprawę roślin wykorzystywanych do produkcji napojów:
-    kawy,
-    herbaty,
-    maté (herbaty paragwajskiej),
-    kakao,
-    pozostałych roślin wykorzystywanych do produkcji napojów.","","","","0127","This class includes:
- growing of beverage crops:
  • coffee
  • tea
  • maté
  • cocoa
  • other beverage crops","",""
"4","01.28","Uprawa roślin przyprawowych i aromatycznych oraz roślin do produkcji leków i wyrobów farmaceutycznych","Klasa ta obejmuje:
-    uprawę roślin przyprawowych i aromatycznych:
 •     pieprzu (z rodzaju Piper),
 •     chili i papryki słodkiej (z rodzaju Capsicum),
 •     gałki muszkatołowej i kardamonu,
 •     anyżu, badianu i kopru włoskiego,
 •     cynamonu,
 •     goździków,
 •     imbiru,
 •     wanilii,
 •     chmielu,
 •     pozostałych roślin przyprawowych i aromatycznych,
-    uprawę roślin wykorzystywanych do produkcji leków, środków odurzających i wyrobów farmaceutycznych.","","","","0128","This class includes:
- growing of perennial and non-perennial spices and aromatic crops:
  • pepper (piper sop.)
  • chillies and peppers (capsicum sop.)
  • nutmeg, mace and cardamoms
  • anise, badian and fennel
  • cinnamon (canella)
  • cloves
  • ginger
  • vanilla
  • hops
  • other spices and aromatic crops
- growing of drug and narcotic crops","",""
"4","01.29","Uprawa pozostałych roślin wieloletnich","Klasa ta obejmuje:
-    uprawę drzew kauczukowych w celu zbierania mleczka kauczukowego (lateksu),
-    uprawę choinek świątecznych,
-    uprawę drzew w celu uzyskania soków,
-    uprawę roślin wieloletnich używanych do wyplatania.","","Klasa nie obejmuje:
-    uprawy kwiatów oraz produkcji kwiatów ciętych i pączków kwiatowych, sklasyfikowanych w 01.19,
-    zbierania soków lub żywic gumopodobnych z drzew dziko rosnących, sklasyfikowanego w 02.30.","","0129","This class includes:
- growing of rubber trees for harvesting of latex
- growing of Christmas trees
- growing of trees for extraction of sap
- growing of vegetable materials of a kind used primarily for plaiting","","This class excludes:
- growing of flowers, production of cut flower buds and growing of flower seeds, see 01.19
- gathering of tree sap or rubber-like gums in the wild, see 02.30"
"3","01.3","Rozmnażanie roślin","","","","","013","","",""
"4","01.30","Rozmnażanie roślin","Klasa ta obejmuje produkcję roślinnych materiałów wegetatywnych, włączając sadzonki, odrosty i rozsady przeznaczone do bezpośredniego rozmnażania roślin lub gromadzenia szczepów roślinnych, do których zaszczepiany jest wybrany szczep, do ewentualnego obsadzania upraw.
Klasa ta obejmuje:
-    uprawę roślin do rozmnażania,
-    uprawę roślin ozdobnych, włączając darń do przesadzania,
-    uprawę roślin dla cebulek, bulw i korzeni; sadzonki i szczepy,
-    uprawę grzybni, włączając podłoże z wsianą grzybnią,
-    uprawę szkółkarską, z wyłączeniem szkółek leśnych.","","Klasa ta nie obejmuje:
-    uprawy roślin do produkcji nasion, sklasyfikowanej w odpowiednich klasach grup 01.1 i 01.2,
-    działalności szkółek leśnych, sklasyfikowanej w 02.10.","","0130","This class includes the production of all vegetative planting materials including cuttings, suckers and seedlings for direct plant propagation or to create plant grafting stock into which selected scion is grafted for eventual planting to produce crops.

This class includes:
- growing of plants for planting
- growing of plants for ornamental purposes, including turf for transplanting
- growing of live plants for bulbs, tubers and roots; cuttings and slips; mushroom spawn
- operation of tree nurseries, except forest tree nurseries","","This class excludes:
- growing of plants for the purpose of seed production, see 01.1, 01.2
- operation of forest tree nurseries, see 02.10"
"3","01.4","Chów i hodowla zwierząt","Grupa ta obejmuje:
-    chów i hodowlę wszystkich zwierząt, oprócz zwierząt wodnych.","","Grupa ta nie obejmuje:
- prowadzenia schronisk dla zwierząt gospodarskich, sklasyfikowanego w 01.62,
- produkcji skór surowych i skór pochodzących z rzeźni, sklasyfikowanej w 10.11.","","014","This group includes raising (farming) and breeding of all animals, except aquatic animals.","","This group excludes:
- farm animal boarding and care, see 01.62
- production of hides and skins from slaughterhouses, see 10.11"
"4","01.41","Chów i hodowla bydła mlecznego","Klasa ta obejmuje:
-    chów i hodowlę bydła mlecznego,
-    produkcję surowego mleka krowiego lub z bawołów.","","Klasa ta nie obejmuje:
-    przetwórstwa mleka, sklasyfikowanego w 10.51.","","0141","This class includes:
- raising and breeding of dairy cattle
- production of raw milk from cows or buffaloes","","This class excludes:
- processing of milk, see 10.51"
"4","01.42","Chów i hodowla pozostałego bydła i bawołów","Klasa ta obejmuje:
-    chów i hodowlę bydła i bawołów na mięso,
-    produkcję nasienia bydlęcego.","","","","0141","This class includes:
- raising and breeding of cattle and buffaloes for meat
- production of bovine semen","",""
"4","01.43","Chów i hodowla koni i pozostałych zwierząt koniowatych","Klasa ta obejmuje:
-    chów i hodowlę koni, osłów, mułów lub osłomułów","","Klasa ta nie obejmuje:
-    działalności stajni koni wyścigowych, sklasyfikowanej w 93.19.","","0142","This class includes:
- raising and breeding of horses, asses, mules or hinnies","","This class excludes:
- operation of racing and riding stables, see 93.19"
"4","01.44","Chów i hodowla wielbłądów i zwierząt wielbłądowatych","Klasa ta obejmuje:
-    chów i hodowlę wielbłądów (dromaderów) i zwierząt wielbłądowatych.","","","","0143","This class includes:
- raising and breeding of camels (dromedary) and camelids","",""
"4","01.45","Chów i hodowla owiec i kóz","Klasa ta obejmuje:
-    chów i hodowlę owiec i kóz,
-    produkcję surowego mleka owczego i koziego,
-    produkcję surowej wełny.","","Klasa ta nie obejmuje:
-    strzyżenia owiec, wykonywanego na zlecenie, sklasyfikowanego w 01.62,
-    produkcji wełny surowej poubojowej, sklasyfikowanej w 10.11,
-    przetwórstwa mleka, sklasyfikowanego w 10.51.","","0144","This class includes:
- raising and breeding of sheep and goats
- production of raw sheep or goat milk
- production of raw wool","","This class excludes:
- sheep shearing on a fee or contract basis, see 01.62
- production of pulled wool, see 10.11
- processing of milk, see 10.51"
"4","01.46","Chów i hodowla świń","","","","","0145","","",""
"4","01.47","Chów i hodowla drobiu","Klasa ta obejmuje:
-    chów i hodowlę ptactwa domowego z gatunku „Gallus domesticus”, indyków, kaczek, gęsi i perliczek,
-    produkcję jaj,
-    działalność wylęgarni drobiu.","","Klasa ta nie obejmuje:
-    produkcji pierza i puchu, sklasyfikowanej w 10.12.","","0146","This class includes:
- raising and breeding of poultry:
  • chickens, turkeys, ducks, geese and guinea fowls
- production of eggs from poultry
- operation of poultry hatcheries","","This class excludes:
- production of feathers or down, see 10.12"
"4","01.49","Chów i hodowla pozostałych zwierząt","Klasa ta obejmuje:
-    chów i hodowlę pozostałych zwierząt, włącznie z częściowo oswojonymi:
 •     strusi i emu,
 •     pozostałych ptaków, z wyłączeniem drobiu,
 •     owadów,
 •     królików i pozostałych zwierząt futerkowych,
-    produkcję skór zwierząt futerkowych, gadów lub ptaków w gospodarstwach hodowlanych,
-    chów i hodowlę robaków, mięczaków, w tym ślimaków itp. zwierząt lądowych,
-    chów i hodowlę jedwabników; produkcję kokonów jedwabników,
-    chów i hodowlę pszczół; produkcję miodu i wosku pszczelego oraz pozostałych produktów pszczelich,
-    chów i hodowlę zwierząt domowych, z wyłączeniem ryb:
 •     kotów i psów,
 •     ptaków, takich jak papużki itp.,
 •     chomików itp.,
-    chów i hodowlę różnorodnych zwierząt","","Klasa ta nie obejmuje:
-    chowu i hodowli drobiu, sklasyfikowanych w 01.47,
-    produkcji skór pochodzących z myślistwa i łowiectwa, sklasyfikowanej w 01.70,
-    chowu i hodowli ryb, żab, krokodyli i robaków morskich, sklasyfikowanych w 03.21, 03.22,
-    tresury zwierząt domowych, sklasyfikowanej w 96.09.","","0149","This class includes:
- raising and breeding of semi-domesticated or other live animals:
  • ostriches and emus
  • other birds (except poultry)
  • insects
  • rabbits and other fur animals
- production of fur skins, reptile or bird skins from ranching operation
- operation of worm farms, land mollusc farms, snail farms etc.
- raising of silk worms, production of silk worm cocoons
- bee-keeping and production of honey and beeswax
- raising and breeding of pet animals (except fish):
  • cats and dogs
  • birds, such as parakeets etc.
  • hamsters etc.
- raising of diverse animals","","This class excludes:
- production of hides and skins originating from hunting and trapping, see 01.70
- operation of frog farms, crocodile farms, marine worm farms, see 03.21, 03.22
- operation of fish farms, see 03.21, 03.22
- boarding and training of pet animals, see 96.09
- raising and breeding of poultry, see 01.47"
"3","01.5","Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)","","","","","015","","",""
"4","01.50","Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)","Klasa ta uwzględnia zjawisko występowania gospodarstw rolnych prowadzących jednocześnie produkcję roślinną i zwierzęcą, bez specjalizacji produkcji w kierunku upraw rolnych czy też chowu i hodowli zwierząt. Wielkość produkcji rolnej nie jest czynnikiem decydującym. Jeżeli jednak stopień specjalizacji wynosi 66 % i powyżej w jednej dziedzinie, to działalność jednostki nie powinna być klasyfikowana w niniejszej podklasie, ale do upraw rolnych lub chowu i hodowli zwierząt.","","Klasa ta nie obejmuje:
-    działalności jednostek zajmujących się głównie uprawami rolnymi, sklasyfikowanej w odpowiednich klasach grup 01.1 i 01.2,
-    działalności jednostek zajmujących się głównie chowem i hodowlą zwierząt, sklasyfikowanej w odpowiednich klasach grupy 01.4.","","0150","This class includes the combined production of crops and animals without a specialised production of crops or animals. The size of the overall farming operation is not a determining factor. If either production of crops or animals in a given unit is 66% or more of standard gross margins, the combined activity should not be included here, but allocated to crop or animal farming.","","This class excludes:
- mixed crop farming, see groups 01.1 and 01.2
- mixed animal farming, see group 01.4"
"3","01.6","Działalność usługowa wspomagająca rolnictwo i następująca po zbiorach","Grupa ta obejmuje:
-    działalność usługową wspomagającą świadczoną na zlecenie, związaną z rolnictwem, ale nie podejmowaną dla celów produkcyjnych (w sensie zbiorów produktów rolniczych),","Grupa ta obejmuje także:
-    czynności następujące po zbiorach, mające na celu przygotowanie produktów rolnych na rynek pierwotny.","","","016","This group includes activities incidental to agricultural production and activities similar to agriculture not undertaken for production purposes (in the sense of harvesting agricultural products), done on a fee or contract basis.","Also included are post-harvest crop activities, aimed at preparing agricultural products for the primary market.",""
"4","01.61","Działalność usługowa wspomagająca produkcję roślinną","Klasa ta obejmuje:
-    działalność rolniczą świadczoną na zlecenie, w zakresie:
 •     przygotowania pól do upraw, siewu i sadzenia,
 •     pielęgnowania, zraszania, opryskiwania upraw, włączając usługi agrolotnicze,
 •     przycinania drzew owocowych oraz winorośli,
 •     przesadzania ryżu, przerywania buraków,
 •     zbiorów,
 •     zwalczania szkodników (włączając króliki) związanego z rolnictwem,
-    utrzymanie terenów rolniczych w dobrym stanie ekologicznym,
-    eksploatację systemów irygacyjnych dla celów rolniczych.","Klasa ta obejmuje także:
-    wynajem maszyn rolniczych z obsługą.","Klasa ta nie obejmuje:
-    działalności rolniczej następującej po zbiorach, sklasyfikowanej w 01.63,
-    odwadniania gruntów rolnych, sklasyfikowanego w 43.12,
-    działalności w zakresie architektury krajobrazu, sklasyfikowanej w 71.11,
-    działalności agronomów i ekonomistów rolnych, sklasyfikowanej w 74.90,
-    zagospodarowania terenów zieleni, sklasyfikowanego w 81.30,
-    organizowania pokazów i targów rolniczych, sklasyfikowanego w 82.30.","","0161","This class includes:
- agricultural activities on a fee or contract basis:
  • preparation of fields
  • establishing a crop
  • treatment of crops
  • crop spraying, including by air
  • trimming of fruit trees and vines
  • transplanting of rice, thinning of beets
  • harvesting
  • pest control (including rabbits) in connection with agriculture
- maintenance of agricultural land in good agricultural and environmental condition
- operation of agricultural irrigation equipment","This class also includes:
- provision of agricultural machinery with operators and crew","This class excludes:
- post-harvest crop activities, see 01.63
- drainage of agricultural land, see 43.12
- landscape architecture, see 71.11
- activities of agronomists and agricultural economists, see 74.90
- landscape gardening, planting, see 81.30
- organisation of agricultural shows and fairs, see 82.30"
