"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA","Esta sección comprende el aprovechamiento de los recursos naturales vegetales y animales, incluyendo las actividades de producción agrícola, cría y reproducción de animales, recolección de madera y de otras plantas y animales en una explotación o su hábitat natural.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"4","01.21","Cultivo de la vid","Esta clase comprende:
- el cultivo de uva de para producción de vino y de uva de mesa en viñedos","","Esta clase no comprende:
- la elaboración de vinos (véase 11.02)","","0121","This class includes:
- growing of wine grapes and table grapes in vineyards","","This class excludes:
- manufacture of wine, see 11.02"
"4","01.22","Cultivo de frutos tropicales y subtropicales","Esta clase comprende:
- el cultivo de frutas tropicales y subtropicales:
• aguacates
• plátanos y llantenes
• dátiles
• higos
• mangos
• papayas
• piñas
• otras frutas tropicales y subtropicales","","","","0122","This class includes:
- growing of tropical and subtropical fruits:
  • avocados
  • bananas and plantains
  • dates
  • figs
  • mangoes
  • papayas
  • pineapples
  • other tropical and subtropical fruits","",""
"4","01.23","Cultivo de cítricos","Esta clase comprende:
- el cultivo de agrios:
• toronjas y pomelos
• limones y limas
• naranjas
• tangerinas, mandarinas y clementinas
• otros agrios","","","","0123","This class includes:
- growing of citrus fruits:
  • grapefruit and pomelo
  • lemons and limes
  • oranges
  • tangerines, mandarins and clementines
  • other citrus fruits","",""
"4","01.24","Cultivo de frutos con hueso y pepitas","Esta clase comprende:
- el cultivo de frutas de pepita y frutas de hueso:
• manzanas
• albaricoques
• cerezas y guindas
• melocotones y nectarinas
• peras y membrillos
• ciruelas y endrinas
• otras frutas de pepita y de hueso","","","","0124","This class includes:
- growing of pome fruits and stone fruits:
  • apples
  • apricots
  • cherries and sour cherries
  • peaches and nectarines
  • pears and quinces
  • plums and sloes
  • other pome fruits and stone fruits","",""
"4","01.25","Cultivo de otros árboles y arbustos frutales y frutos secos","Esta clase comprende:
- el cultivo de bayas:
• arándanos
• grosellas
• grosella espinosa
• kiwis
• frambuesas
• fresas
• otras bayas
- el cultivo de semillas de frutas
- el cultivo de frutos secos comestibles
• almendras
• anacardos
• castañas
• avellanas
• pistachos
• nueces
• otros frutos secos
- el cultivo de otras frutas de árbol y de arbusto
• algarrobas","","Esta clase no comprende:
- el cultivo de cocos (véase 01.26)","","0125","This class includes:
- growing of berries:
  • blueberries
  • currants
  • gooseberries
  • kiwi fruit
  • raspberries
  • strawberries
  • other berries
- growing of fruit seeds
- growing of edible nuts:
  • almonds
  • cashew nuts
  • chestnuts
  • hazelnuts
  • pistachios
  • walnuts
  • other nuts
- growing of other tree and bush fruits:
  • locust beans","","This class excludes:
- growing of coconuts, see 01.26"
"4","01.26","Cultivo de frutos oleaginosos","Esta clase comprende:
- el cultivo de frutos oleaginosos:
• cocos
• aceitunas
• palma de aceite
• otros frutos oleaginosos","","Esta clase no comprende:
- el cultivo de habas de soja, cacahuetes y otras semillas oleaginosas (véase 01.11)","","0126","This class includes:
- growing of oleaginous fruits:
  • coconuts
  • olives
  • oil palms
  • other oleaginous fruits","","This class excludes:
- growing of soya beans, groundnuts and other oil seeds, see 01.11"
"4","01.27","Cultivo de plantas para bebidas","Esta clase comprende:
- el cultivo de plantas para bebidas:
• café
• té
• mate
• cacao
• otras plantas para bebidas","","","","0127","This class includes:
- growing of beverage crops:
  • coffee
  • tea
  • maté
  • cocoa
  • other beverage crops","",""
"4","01.28","Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas","Esta clase comprende:
- el cultivo de plantas aromáticas y especias perennes y no perennes:
• pimienta (piper sop.)
• chiles y pimientos (capsicum sop.)
• nuez moscada, macis y cardamomo
• anís, anís estrellado e hinojo
• canela
• clavo
• jengibre
• vainilla
• lúpulos
• otras plantas aromáticas y especias
- el cultivo de plantas para la elaboración de fármacos y narcóticos","","","","0128","This class includes:
- growing of perennial and non-perennial spices and aromatic crops:
  • pepper (piper sop.)
  • chillies and peppers (capsicum sop.)
  • nutmeg, mace and cardamoms
  • anise, badian and fennel
  • cinnamon (canella)
  • cloves
  • ginger
  • vanilla
  • hops
  • other spices and aromatic crops
- growing of drug and narcotic crops","",""
"4","01.29","Otros cultivos perennes","Esta clase comprende:
- el cultivo de árboles caucheros para la recolección de látex
- el cultivo de árboles de navidad
- el cultivo de árboles para la extracción de savia
- el cultivo de materiales vegetales del tipo usado en cestería y espartería","","Esta clase no comprende:
- el cultivo de flores, la producción de capullos de flores cortados y el cultivo de semillas de flores (véase 01.19)
- la recolección de savia o gomas similares al caucho en estado silvestre (véase 02.30)","","0129","This class includes:
- growing of rubber trees for harvesting of latex
- growing of Christmas trees
- growing of trees for extraction of sap
- growing of vegetable materials of a kind used primarily for plaiting","","This class excludes:
- growing of flowers, production of cut flower buds and growing of flower seeds, see 01.19
- gathering of tree sap or rubber-like gums in the wild, see 02.30"
"3","01.3","Propagación de plantas","","","","","013","","",""
"4","01.30","Propagación de plantas","Esta clase comprende la producción de todos los productos vegetales para plantación, incluidos esquejes, serpollos y semilleros, para la reproducción directa de plantas o para producción de injertos mediante la selección de vástagos.

Esta clase comprende:
- el cultivo de plantas para plantación
- el cultivo de plantas ornamentales, incluida la turba para trasplantes
- el cultivo de plantas vivas para bulbos, raíces y tubérculos; esquejes y mugrones; esporas de setas
- la explotación de viveros, salvo los viveros forestales","","Esta clase no comprende:
- el cultivo de plantas para la producción de semillas (véase 01.1 y 01.2)
- la explotación de viveros forestales (véase 02.10)","","0130","This class includes the production of all vegetative planting materials including cuttings, suckers and seedlings for direct plant propagation or to create plant grafting stock into which selected scion is grafted for eventual planting to produce crops.

This class includes:
- growing of plants for planting
- growing of plants for ornamental purposes, including turf for transplanting
- growing of live plants for bulbs, tubers and roots; cuttings and slips; mushroom spawn
- operation of tree nurseries, except forest tree nurseries","","This class excludes:
- growing of plants for the purpose of seed production, see 01.1, 01.2
- operation of forest tree nurseries, see 02.10"
"3","01.4","Producción ganadera","Este grupo comprende la cría (ganadería) y reproducción de todos los animales, excepto los acuáticos","","Este grupo no comprende:
- la estabulación de animales de granja y su cuidado (véase 01.62)
- la producción de pieles y cueros procedentes de mataderos (véase 10.11)","","014","This group includes raising (farming) and breeding of all animals, except aquatic animals.","","This group excludes:
- farm animal boarding and care, see 01.62
- production of hides and skins from slaughterhouses, see 10.11"
"4","01.41","Explotación de ganado bovino para la producción de leche","Esta clase comprende:
- la cría y reproducción de ganado bovino lechero
- la producción de leche cruda de vaca o búfalo","","Esta clase no comprende:
- el procesado de la leche (véase 10.51)","","0141","This class includes:
- raising and breeding of dairy cattle
- production of raw milk from cows or buffaloes","","This class excludes:
- processing of milk, see 10.51"
"4","01.42","Explotación de otro ganado bovino y búfalos","Esta clase comprende:
- la cría y reproducción de ganado bovino y búfalos para carne
- la producción de esperma de bovino","","","","0141","This class includes:
- raising and breeding of cattle and buffaloes for meat
- production of bovine semen","",""
"4","01.43","Explotación de caballos y otros equinos","Esta clase comprende:
- la cría y reproducción de caballos, burros, mulas o burdéganos","","Esta clase no comprende:
- el mantenimiento de cuadras de caballos de carreras y de escuelas de equitación (véase 93.19)","","0142","This class includes:
- raising and breeding of horses, asses, mules or hinnies","","This class excludes:
- operation of racing and riding stables, see 93.19"
"4","01.44","Explotación de camellos y otros camélidos","Esta clase comprende:
- la cría y reproducción de camellos (dromedarios) y camélidos","","","","0143","This class includes:
- raising and breeding of camels (dromedary) and camelids","",""
"4","01.45","Explotación de ganado ovino y caprino","Esta clase comprende:
- la cría y reproducción de ganado ovino y caprino
- la producción de leche cruda de ganado ovino y caprino
- la producción de lana en bruto","","Esta clase no comprende:
- el esquileo de animales por cuenta de terceros (véase 01.62)
- la producción de hilachas de lana (véase 10.11)
- el procesado de la leche (véase 10.51)","","0144","This class includes:
- raising and breeding of sheep and goats
- production of raw sheep or goat milk
- production of raw wool","","This class excludes:
- sheep shearing on a fee or contract basis, see 01.62
- production of pulled wool, see 10.11
- processing of milk, see 10.51"
"4","01.46","Explotación de ganado porcino","","","","","0145","","",""
"4","01.47","Avicultura","Esta clase comprende:
- la cría y reproducción de aves de corral
• pollos, pavos, patos, ocas y pintadas
- la producción de huevos de aves de corral
- la explotación de incubadoras de aves de corral","","Esta clase no comprende:
- la producción de plumas y plumón (véase 10.12)","","0146","This class includes:
- raising and breeding of poultry:
  • chickens, turkeys, ducks, geese and guinea fowls
- production of eggs from poultry
- operation of poultry hatcheries","","This class excludes:
- production of feathers or down, see 10.12"
"4","01.49","Otras explotaciones de ganado","Esta clase comprende:
- la cría y reproducción de animales semidomesticados u otros animales vivos:
• avestruces y emús
• otras aves (excepto aves de corral)
• insectos
• conejos y otros animales de peletería
- la producción de pieles para peletería, pieles de reptiles y aves procedentes de granjas
- la explotación de criaderos de gusanos, moluscos terrestres, caracoles, etc.
- la cría de gusanos de seda y la sericultura
- la apicultura y la producción de miel y cera de abeja
- la cría y reproducción de animales de compañía (excepto peces):
• gatos y perros
• pájaros, como periquitos, etc.
• hámsters, etc.
- la cría de animales diversos","","Esta clase no comprende:
- la producción de cueros y pieles procedentes de la caza y captura de animales (véase 01.70)
- la explotación de criaderos de ranas, cocodrilos, gusanos marinos (véase 03.21, 03.22)
- la acuicultura (véase 03.21, 03.22)
- el adiestramiento de animales domésticos (véase 96.09)
- la cría y reproducción de aves de corral (véase 01.47)","","0149","This class includes:
- raising and breeding of semi-domesticated or other live animals:
  • ostriches and emus
  • other birds (except poultry)
  • insects
  • rabbits and other fur animals
- production of fur skins, reptile or bird skins from ranching operation
- operation of worm farms, land mollusc farms, snail farms etc.
- raising of silk worms, production of silk worm cocoons
- bee-keeping and production of honey and beeswax
- raising and breeding of pet animals (except fish):
  • cats and dogs
  • birds, such as parakeets etc.
  • hamsters etc.
- raising of diverse animals","","This class excludes:
- production of hides and skins originating from hunting and trapping, see 01.70
- operation of frog farms, crocodile farms, marine worm farms, see 03.21, 03.22
- operation of fish farms, see 03.21, 03.22
- boarding and training of pet animals, see 96.09
- raising and breeding of poultry, see 01.47"
"3","01.5","Producción agrícola combinada con la producción ganadera","","","","","015","","",""
"4","01.50","Producción agrícola combinada con la producción ganadera","Esta clase comprende la producción mixta agrícola y ganadera sin especialización en ninguna de ellas. El tamaño de la explotación general no es un factor determinante. Si la producción agrícola o la producción ganadera en una unidad determinada representa el 66 % o más de los márgenes brutos normales, la actividad conjunta no debería incluirse en este apartado, sino asignarse a producción agrícola o a producción ganadera.","","Esta clase no comprende:
- la producción combinada de varios productos agrícolas (véanse grupos 01.1 y 01.2)
- la producción ganadera combinada de distintas especies (véase el grupo 01.4)","","0150","This class includes the combined production of crops and animals without a specialised production of crops or animals. The size of the overall farming operation is not a determining factor. If either production of crops or animals in a given unit is 66% or more of standard gross margins, the combined activity should not be included here, but allocated to crop or animal farming.","","This class excludes:
- mixed crop farming, see groups 01.1 and 01.2
- mixed animal farming, see group 01.4"
"3","01.6","Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha","Este grupo comprende las actividades relacionadas con la producción agrícola y otras similares a la agricultura que no tienen fines de producción (en el sentido de cosecha de productos agrarios), y realizadas por cuenta de terceros. Se incluyen también las actividades posteriores a la cosecha destinadas a preparar los productos agrarios para el mercado primario.","","","","016","This group includes activities incidental to agricultural production and activities similar to agriculture not undertaken for production purposes (in the sense of harvesting agricultural products), done on a fee or contract basis.","Also included are post-harvest crop activities, aimed at preparing agricultural products for the primary market.",""
"4","01.61","Actividades de apoyo a la agricultura","Esta clase comprende:
- las actividades agrícolas por cuenta de terceros:
• la preparación de terrenos de cultivo
• la siembra de cultivos
• el tratamiento de los cultivos
• la fumigación de los cultivos, incluida la fumigación aérea
• la poda de los árboles frutales y las vides
• el trasplante de los tallos de arroz y el raleo de las remolachas
• la cosecha
• el control de las plagas (incluida la de conejos) en relación con la agricultura
- el mantenimiento del terreno agrícola en buenas condiciones agrícolas y medioambientales
- la explotación de equipos agrícolas de riego","Esta clase comprende también:
- la provisión de maquinaria agraria con operarios","Esta clase no comprende:
- las actividades posteriores a la cosecha (véase 01.63)
- el drenaje de tierras agrícolas (véase 43.12)
- la planificación paisajística (véase 71.11)
- las actividades de agrónomos y economistas agrarios (véase 74.90)
- el mantenimiento de jardines (véase 81.30)
- la organización de ferias y muestras agrícolas (véase 82.30)","","0161","This class includes:
- agricultural activities on a fee or contract basis:
  • preparation of fields
  • establishing a crop
  • treatment of crops
  • crop spraying, including by air
  • trimming of fruit trees and vines
  • transplanting of rice, thinning of beets
  • harvesting
  • pest control (including rabbits) in connection with agriculture
- maintenance of agricultural land in good agricultural and environmental condition
- operation of agricultural irrigation equipment","This class also includes:
- provision of agricultural machinery with operators and crew","This class excludes:
- post-harvest crop activities, see 01.63
- drainage of agricultural land, see 43.12
- landscape architecture, see 71.11
- activities of agronomists and agricultural economists, see 74.90
- landscape gardening, planting, see 81.30
- organisation of agricultural shows and fairs, see 82.30"
"4","01.62","Actividades de apoyo a la ganadería","Esta clase comprende:
- las actividades ganaderas por cuenta de terceros:
• las actividades destinadas al fomento, desarrollo y producción de ganado
• los servicios de control del ganado, de su conducción, de pasturaje, de castración de aves de corral, de limpieza de corrales, etc.
• las actividades relacionadas con la inseminación artificial
• los servicios de oferta de sementales
• el esquileo de ovejas
• la estabulación de animales de granja y su cuidado","Esta clase comprende también:
- las actividades de herraje","Esta clase no comprende:
- la provisión de espacio sólo para alojamiento de animales (véase 68.20)
- los servicios veterinarios (véase 75.00)
- la vacunación de animales (véase 75.00)
- el alquiler de animales (por ejemplo, rebaños) (véase 77.39)
- el alojamiento de animales de compañía (véase 96.09)","","0162","This class includes:
- agricultural activities on a fee or contract basis:
  • activities to promote propagation, growth and output of animals
  • herd testing services, droving services, agistment services, poultry caponising, coop cleaning etc.
  • activities related to artificial insemination
  • stud services
  • sheep shearing
  • farm animal boarding and care","This class also includes:
- activities of farriers","This class excludes:
- provision of space for animal boarding only, see 68.20
- veterinary activities, see 75.00
- vaccination of animals, see 75.00
- rental of animals (e.g. herds), see 77.39
- pet boarding, see 96.09"
"4","01.63","Actividades de preparación posterior a la cosecha","Esta clase comprende:
- la preparación de cultivos para los mercados primarios (limpieza, recorte de hojas y pedúnculos, clasificación, desinfección)
- el desmotado de algodón
- la preparación de hojas de tabaco (por ejemplo, secado)
- la preparación de granos de cacao (por ejemplo, pelado)
- el encerado de la fruta","","Esta clase no comprende:
- la preparación de productos agrarios por el productor (véase la clase correspondiente en los grupos 01.1, 01.2 ó 01.3)
- las actividades posteriores a la cosecha orientadas a la mejora de la calidad reproductiva de las semillas (véase 01.64)
- desvenado y resecado del tabaco (véase 12.00)
- las actividades de marketing efectuadas por intermediarios a comisión y por asociaciones cooperativas (véase la división 46)
- el comercio al por mayor de materias primas agrarias (véase 46.2)","Agricultural products (Drying of…)

Problem statement: Drying is mentioned both in explanatory notes for agriculture and food manufacturing activities.

Solution: UN TSG decision for ISIC Rev.4, applicable also for NACE Rev. 2:

• NACE Rev. 2 class 01.63 (Post-harvest crop activities) includes drying activities where no manufacturing-type equipment is used, for example sun-drying of fruit and vegetables, air-drying of forage plants etc.
• Division 10 (Manufacture of food products) includes industrial drying activities (dehydration by artificial means), according to the product class: NACE Rev. 2 class 10.31 (Processing and preserving of potatoes) includes industrial dehydrating of potatoes, 10.39 (Other processing and preserving of fruit and vegetables) includes industrial dehydrating of other fruit and vegetables etc.

Decision date: 01.07.2007","0163","This class includes:
- preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting
- cotton ginning
- preparation of tobacco leaves, e.g. drying
- preparation of cocoa beans, e.g. peeling
- waxing of fruit
- sun-drying of fruit and vegetables","","This class excludes:
- preparation of agricultural products by the producer, see corresponding class in groups 01.1, 01.2 or 01.3
- post-harvest activities aimed at improving the propagation quality of seed, see 01.64
- stemming and redrying of tobacco, see 12.00
- marketing activities of commission merchants and cooperative associations, see division 46
- wholesale of agricultural raw materials, see 46.2"
"4","01.64","Tratamiento de semillas para reproducción","Esta clase comprende todas las actividades posteriores a la cosecha destinadas a mejora la calidad de reproducción de la semilla mediante la eliminación de materiales ajenos a la semilla, los demasiado pequeños, los que tienen daños mecánicos o causados por insectos, las semillas no maduras, así como la eliminación de la humedad de la semilla hasta un nivel seguro para el almacenamiento de ésta. Esta actividad incluye el secado, la limpieza, la clasificación y el tratamiento de las semillas hasta su comercialización. Se incluye en este apartado el tratamiento de semillas genéticamente modificadas.","","Esta clase no comprende:
- el cultivo de semillas (véanse grupos 01.1 y 01.2)
- el tratamiento de semillas para extracción de aceite (véase 10.41)
- la investigación para desarrollar o modificar nuevas formas de semillas (véase 72.11)","","0164","This class includes all post-harvest activities aimed at improving the propagation quality of seed through the removal of non-seed materials, undersized, mechanically or insect-damaged and immature seeds as well as removing the seed moisture to a safe level for seed storage. This activity includes the drying, cleaning, grading and treating of seeds until they are marketed. The treatment of genetically modified seeds is included here.","","This class excludes:
- growing of seeds, see groups 01.1 and 01.2
- processing of seeds to obtain oil, see 10.41
- research to develop or modify new forms of seeds, see 72.11"
"3","01.7","Caza, captura de animales y servicios relacionados con las mismas","","","","","017","","",""
"4","01.70","Caza, captura de animales y servicios relacionados con las mismas","Esta clase comprende:
- la caza y captura de animales con fines comerciales
- el aprovechamiento de los animales (vivos o muertos) para carne, pieles, cueros o para utilizarlos en la investigación, en zoológicos o como animales de compañía
- la producción de pieles para peletería, de pieles de reptiles y aves procedentes de la caza","Esta clase comprende también:
- la captura, en instalaciones en tierra, de mamíferos marinos como focas y morsas","Esta clase no comprende:
- la producción de pieles para peletería, de pieles de reptiles y aves procedentes de granjas (véase 01.49)
- la cría de animales para repoblación cinegética en granjas (véase 01.49)
- la captura de ballenas (véase 03.11)
- la producción de pieles y cueros procedentes de mataderos (véase 10.11)
- la caza deportiva o recreativa y las actividades de los servicios relacionados con estas actividades (véase 93.19)
- las actividades de los servicios destinados a fomentar la caza y captura de animales (véase 94.99)","","0170","This class includes:
- hunting and trapping on a commercial basis
- taking of animals (dead or alive) for food, fur, skin, or for use in research, in zoos or as pets
- production of fur skins, reptile or bird skins from hunting or trapping activities","This class also includes:
- land-based catching of sea mammals such as walrus and seal","This class excludes:
- production of fur skins, reptile or bird skins from ranching operations, see group 01.49
- raising of game animals on ranching operations, see 01.4
- catching of whales, see 03.11
- production of hides and skins originating from slaughterhouses, see 10.11
- hunting for sport or recreation and related service activities, see 93.19
- service activities to promote hunting and trapping, see 94.99"
