"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ","Tato sekce zahrnuje činnosti spojené s využíváním rostlinných a živočišných přírodních zdrojů. Patří sem činnosti jako pěstování zemědělských plodin, chov hospodářských zvířat, těžba dřeva a výroba jiných rostlinných a živočišných produktů v zemědělských podnicích nebo jejich získávání z volné přírody.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"4","01.21","Pěstování vinných hroznů","Z:
- pěstování vinných hroznů na vinicích","","N:
- výrobu vína z vinných hroznů (11.02)","","0121","This class includes:
- growing of wine grapes and table grapes in vineyards","","This class excludes:
- manufacture of wine, see 11.02"
"4","01.22","Pěstování tropického a subtropického ovoce","Z:
- pěstování tropického a subtropického ovoce:
• avokád
• banánů a plantejnů (zeleninových banánů)
• datlí
• fíků
• manga
• papaji
• ananasu
• jiného tropického a subtropického ovoce","","","","0122","This class includes:
- growing of tropical and subtropical fruits:
  • avocados
  • bananas and plantains
  • dates
  • figs
  • mangoes
  • papayas
  • pineapples
  • other tropical and subtropical fruits","",""
"4","01.23","Pěstování citrusových plodů","Z:
- pěstování citrusových plodů:
• grapefruitů, vč. pomel (šedoků)
• citronů a limet
• pomerančů
• tangerinek, mandarinek, klementinek
• jiných citrusových plodů","","","","0123","This class includes:
- growing of citrus fruits:
  • grapefruit and pomelo
  • lemons and limes
  • oranges
  • tangerines, mandarins and clementines
  • other citrus fruits","",""
"4","01.24","Pěstování jádrového a peckového ovoce","Z:
- pěstování jádrového a peckového ovoce:
• jablek
• meruněk
• třešní a višní
• broskví a nektarinek
• hrušek a kdoulí
• švestek a trnek
• jiného jádrového a peckového ovoce","","","","0124","This class includes:
- growing of pome fruits and stone fruits:
  • apples
  • apricots
  • cherries and sour cherries
  • peaches and nectarines
  • pears and quinces
  • plums and sloes
  • other pome fruits and stone fruits","",""
"4","01.25","Pěstování ostatního stromového a keřového ovoce a ořechů","Z:
- pěstování bobulového ovoce:
• borůvek
• rybízu
• angreštu
• kiwi
• malin
• jahod
• ostatních bobulovin
- pěstování ovocných semen
- pěstování jedlých ořechů:
• mandlí
• oříšků kešu
• jedlých kaštanů
• lískových ořechů
• pistáciových oříšků
• vlašských ořechů
• jiných ořechů
- pěstování ostatního stromového a keřového ovoce a ořechů
• semen rohovníku (svatojánského chleba)","","N:
- pěstování kokosových ořechů (01.26)","","0125","This class includes:
- growing of berries:
  • blueberries
  • currants
  • gooseberries
  • kiwi fruit
  • raspberries
  • strawberries
  • other berries
- growing of fruit seeds
- growing of edible nuts:
  • almonds
  • cashew nuts
  • chestnuts
  • hazelnuts
  • pistachios
  • walnuts
  • other nuts
- growing of other tree and bush fruits:
  • locust beans","","This class excludes:
- growing of coconuts, see 01.26"
"4","01.26","Pěstování olejnatých plodů","Z:
- pěstování olejnatých plodů:
• kokosových ořechů
• oliv
• palem olejných
• ostatních olejnatých plodů","","N:
- pěstování sojových bobů, plodů podzemnice olejné a jiných olejnatých semen (01.11)","","0126","This class includes:
- growing of oleaginous fruits:
  • coconuts
  • olives
  • oil palms
  • other oleaginous fruits","","This class excludes:
- growing of soya beans, groundnuts and other oil seeds, see 01.11"
"4","01.27","Pěstování rostlin pro výrobu nápojů","Z:
- pěstování rostlin pro výrobu nápojů:
• kávy
• čaje
• maté
• kakaa
• ostatních rostlin pro výrobu nápojů","","","","0127","This class includes:
- growing of beverage crops:
  • coffee
  • tea
  • maté
  • cocoa
  • other beverage crops","",""
"4","01.28","Pěstování koření a aromatických, léčivých a farmaceutických rostlin","Z:
- pěstování netrvalých i trvalých rostlin koření a aromatických rostlin:
• pepře (piper spp.)
• papriky (Capsicum spp.)
• muškátového oříšku, muškátového květu, amomu a kardamomu
• anýzu, badyánu a fenyklu
• skořice
• hřebíčku
• zázvoru
• vanilky
• chmele
• ostatního koření a aromatických rostlin
- pěstování rostlin za účelem výroby léčiv a narkotik","","","","0128","This class includes:
- growing of perennial and non-perennial spices and aromatic crops:
  • pepper (piper sop.)
  • chillies and peppers (capsicum sop.)
  • nutmeg, mace and cardamoms
  • anise, badian and fennel
  • cinnamon (canella)
  • cloves
  • ginger
  • vanilla
  • hops
  • other spices and aromatic crops
- growing of drug and narcotic crops","",""
"4","01.29","Pěstování ostatních trvalých plodin","Z:
- pěstování gumovníku za účelem výroby latexu
- pěstování vánočních stromků
- pěstování stromů za účelem získávání mízy
- pěstování rostlin druhů převážně využívaných ke splétání","","N:
- pěstování květin, produkci řezaných květin a poupat a pěstování semen květin (01.19)
- získávání mízy nebo přírodní gumy podobné kaučuku z divoce rostoucích stromů (02.30)","","0129","This class includes:
- growing of rubber trees for harvesting of latex
- growing of Christmas trees
- growing of trees for extraction of sap
- growing of vegetable materials of a kind used primarily for plaiting","","This class excludes:
- growing of flowers, production of cut flower buds and growing of flower seeds, see 01.19
- gathering of tree sap or rubber-like gums in the wild, see 02.30"
"3","01.3","Množení rostlin","","","","","013","","",""
"4","01.30","Množení rostlin","Tato třída zahrnuje výrobu veškerého rostlinného sadbového materiálu, vč. bylinných a kořenových řízků a sazenic, a to buď pro přímé množení rostlin nebo pro získávání podnoží, na které se štěpují vybrané rouby za účelem pozdější výsadby a pěstování jako užitkových rostlin.

Z:
- pěstování rostlinné sadby
- pěstování okrasných rostlin vč. travních koberců
- pěstování živých rostlin pro cibule, hlízy a oddenky; získávání řízků a roubů; pěstování podhoubí
- provoz stromových školek, kromě lesních školek","","N:
- pěstování rostlin za účelem získávání osiva (01.1, 01.2)
- provoz lesních školek (02.10)","","0130","This class includes the production of all vegetative planting materials including cuttings, suckers and seedlings for direct plant propagation or to create plant grafting stock into which selected scion is grafted for eventual planting to produce crops.

This class includes:
- growing of plants for planting
- growing of plants for ornamental purposes, including turf for transplanting
- growing of live plants for bulbs, tubers and roots; cuttings and slips; mushroom spawn
- operation of tree nurseries, except forest tree nurseries","","This class excludes:
- growing of plants for the purpose of seed production, see 01.1, 01.2
- operation of forest tree nurseries, see 02.10"
"3","01.4","Živočišná výroba","Tato skupina zahrnuje chov veškerých zvířat, s výjimkou chovu vodních zvířat.","","N:
- ustájení hospodářských zvířat a péči o ně (01.62)
- produkci kůží a kožek na jatkách (10.11)","","014","This group includes raising (farming) and breeding of all animals, except aquatic animals.","","This group excludes:
- farm animal boarding and care, see 01.62
- production of hides and skins from slaughterhouses, see 10.11"
"4","01.41","Chov mléčného skotu","Z:
- chov mléčného skotu
- produkci syrového kravského a buvolího mléka","","N:
- zpracování mléka (10.51)","","0141","This class includes:
- raising and breeding of dairy cattle
- production of raw milk from cows or buffaloes","","This class excludes:
- processing of milk, see 10.51"
"4","01.42","Chov jiného skotu a buvolů","Z:
- chov jatečného skotu a buvolů
- získávání spermatu skotu a buvolů","","","","0141","This class includes:
- raising and breeding of cattle and buffaloes for meat
- production of bovine semen","",""
"4","01.43","Chov koní a jiných koňovitých","Z:
- chov koní, oslů, mul a mezků","","N:
- provoz dostihových a jezdeckých stájí (93.19)","","0142","This class includes:
- raising and breeding of horses, asses, mules or hinnies","","This class excludes:
- operation of racing and riding stables, see 93.19"
"4","01.44","Chov velbloudů a velbloudovitých","Z:
- chov velbloudů a jiných velbloudovitých (lam atd.)","","","","0143","This class includes:
- raising and breeding of camels (dromedary) and camelids","",""
"4","01.45","Chov ovcí a koz","Z:
- chov ovcí a koz
- produkci syrového ovčího a kozího mléka
- produkci surové vlny","","N:
- stříhání ovcí na základě smlouvy nebo dohody (01.62)
- produkci jateční (jirchářské) vlny (10.11)
- zpracování mléka (10.51)","","0144","This class includes:
- raising and breeding of sheep and goats
- production of raw sheep or goat milk
- production of raw wool","","This class excludes:
- sheep shearing on a fee or contract basis, see 01.62
- production of pulled wool, see 10.11
- processing of milk, see 10.51"
"4","01.46","Chov prasat","","","","","0145","","",""
"4","01.47","Chov drůbeže","Z:
- chov drůbeže:
• slepic, krůt, kachen, hus a perliček
- produkci drůbežích vajec
- provoz líhní","","N:
- získávání per a prachového peří (10.12)","","0146","This class includes:
- raising and breeding of poultry:
  • chickens, turkeys, ducks, geese and guinea fowls
- production of eggs from poultry
- operation of poultry hatcheries","","This class excludes:
- production of feathers or down, see 10.12"
"4","01.49","Chov ostatních zvířat","Z:
- chov zpola domestikovaných a ostatních živých zvířat:
• pštrosů a emu
• ostatních ptáků (kromě drůbeže)
• hmyzu
• králíků a ostatních kožešinových zvířat
- produkci surových kožešin, kůží z plazů a ptáků na zvířecích farmách
- provoz farem pro chov červů, plžů atd.
- chov bource morušového a produkci kokonů bource morušového
- chov včel a produkci včelího medu a vosku
- zvířat v zájmovém chovu (kromě ryb):
• koček a psů
• ptáků (např. papoušků)
• křečků atd.
- chov různých zvířat","","N:
- chov drůbeže (01.47)
- produkci kůží a kožek v rámci lovu a odchytu divokých zvířat (01.70)
- provoz žabích farem, krokodýlích farem, farem pro chov mořských červů (03.21, 03.22)
- provoz rybích farem (03.21, 03.22)
- ubytování a výcvik domácích zvířecích mazlíčků (96.09)","","0149","This class includes:
- raising and breeding of semi-domesticated or other live animals:
  • ostriches and emus
  • other birds (except poultry)
  • insects
  • rabbits and other fur animals
- production of fur skins, reptile or bird skins from ranching operation
- operation of worm farms, land mollusc farms, snail farms etc.
- raising of silk worms, production of silk worm cocoons
- bee-keeping and production of honey and beeswax
- raising and breeding of pet animals (except fish):
  • cats and dogs
  • birds, such as parakeets etc.
  • hamsters etc.
- raising of diverse animals","","This class excludes:
- production of hides and skins originating from hunting and trapping, see 01.70
- operation of frog farms, crocodile farms, marine worm farms, see 03.21, 03.22
- operation of fish farms, see 03.21, 03.22
- boarding and training of pet animals, see 96.09
- raising and breeding of poultry, see 01.47"
"3","01.5","Smíšené hospodářství","","","","","015","","",""
"4","01.50","Smíšené hospodářství","Tato třída zahrnuje kombinaci rostlinné a živočišné výroby bez výrazné převahy jedné z těchto oblastí. Celkový rozsah zemědělské činnosti není rozhodující. Dosahuje-li výroba rostlinných nebo živočišných produktů v jednom zemědělském podniku více než 66 % standardního příspěvku na úhradu, nezařazuje se celková činnost do této třídy, ale buď do výroby rostlinných nebo do výroby živočišných produktů.","","N:
- smíšenou rostlinnou výrobu (01.1, 01.2)
- smíšenou živočišnou výrobu (01.4)","","0150","This class includes the combined production of crops and animals without a specialised production of crops or animals. The size of the overall farming operation is not a determining factor. If either production of crops or animals in a given unit is 66% or more of standard gross margins, the combined activity should not be included here, but allocated to crop or animal farming.","","This class excludes:
- mixed crop farming, see groups 01.1 and 01.2
- mixed animal farming, see group 01.4"
"3","01.6","Podpůrné činnosti pro zemědělství a posklizňové činnosti","Tato skupina zahrnuje činnosti spojené se zemědělskou výrobou a činnosti podobné zemědělství, které nejsou vykonávané pro výrobní účely (ve smyslu získávání zemědělských produktů), vykonávané na základě smlouvy nebo dohody","Skupina zahrnuje také posklizňové činnosti v rostlinné výrobě, které slouží přípravě zemědělských produktů pro primární trhy.","","","016","This group includes activities incidental to agricultural production and activities similar to agriculture not undertaken for production purposes (in the sense of harvesting agricultural products), done on a fee or contract basis.","Also included are post-harvest crop activities, aimed at preparing agricultural products for the primary market.",""
"4","01.61","Podpůrné činnosti pro rostlinnou výrobu","Z:
- poskytování zemědělských služeb pro rostlinnou výrobu na základě smlouvy nebo dohody:
• příprava polí
• zakládání kultur
• ošetřování kultur
• postřik kultur, vč. leteckého
• ořezávání ovocných stromů a vinné révy
• přesazování rýže; jednocení řepy
• sklizeň
• ochrana proti škůdcům (vč. králíků) v zemědělství
- udržování zemědělských ploch v dobrém zemědělském a ekologickém stavu
- provozování zemědělských zavlažovacích systémů","ZT:
- půjčování zemědělských strojů s obsluhou","N:
- posklizňové činnosti v rostlinné výrobě (01.63)
- odvodňování zemědělských ploch (43.12)
- krajinnou architekturu (71.11)
- činnosti agronomů a zemědělských ekonomů (74.90)
- činnosti související s úpravou krajiny (81.30)
- pořádání zemědělských výstav a veletrhů (82.30)","","0161","This class includes:
- agricultural activities on a fee or contract basis:
  • preparation of fields
  • establishing a crop
  • treatment of crops
  • crop spraying, including by air
  • trimming of fruit trees and vines
  • transplanting of rice, thinning of beets
  • harvesting
  • pest control (including rabbits) in connection with agriculture
- maintenance of agricultural land in good agricultural and environmental condition
- operation of agricultural irrigation equipment","This class also includes:
- provision of agricultural machinery with operators and crew","This class excludes:
- post-harvest crop activities, see 01.63
- drainage of agricultural land, see 43.12
- landscape architecture, see 71.11
- activities of agronomists and agricultural economists, see 74.90
- landscape gardening, planting, see 81.30
- organisation of agricultural shows and fairs, see 82.30"
"4","01.62","Podpůrné činnosti pro živočišnou výrobu","Z:
- poskytování zemědělských služeb pro živočišnou výrobu na základě smlouvy nebo dohody:
• činnosti podporující rozmnožování, růst a výkony zvířat
• kontrola stád, vyhánění dobytka, příprava pastvin, kastrace drůbeže, čištění chovatelských prostor atd.
• činnosti spojené s umělou inseminací
• plemenářské služby
• stříhání ovcí
• ustájení hospodářských zvířat a péče o ně","ZT:
- činnosti podkovářů","N:
- poskytování prostor výlučně za účelem ustájení dobytka (68.20)
- činnosti veterinářů (75.00)
- očkování zvířat (75.00)
- pronájem zvířat (např. stád) (77.39)
- ubytování domácích zvířecích mazlíčků (96.09)","","0162","This class includes:
- agricultural activities on a fee or contract basis:
  • activities to promote propagation, growth and output of animals
  • herd testing services, droving services, agistment services, poultry caponising, coop cleaning etc.
  • activities related to artificial insemination
  • stud services
  • sheep shearing
  • farm animal boarding and care","This class also includes:
- activities of farriers","This class excludes:
- provision of space for animal boarding only, see 68.20
- veterinary activities, see 75.00
- vaccination of animals, see 75.00
- rental of animals (e.g. herds), see 77.39
- pet boarding, see 96.09"
"4","01.63","Posklizňové činnosti","Z:
- přípravu rostlinných produktů pro primární trhy, např. čištění, ořezávání, třídění, dezinfekci
- vyzrňování bavlny
- přípravu tabákových listů, např. sušení
- přípravu kakaových bobů, např. vyloupávání z lusků
- voskování ovoce","","N:
- přípravu zemědělských produktů výrobcem (odpovídající třída ve skupinách 01.1, 01.2 a 01.3)
- posklizňové činnosti pro účely zlepšování kvality osiva (01.64)
- odstopkovávání a přesušování tabákových listů (12.00)
- činnosti obchodních zástupců a družstev zabývajících se prodejem zemědělských produktů (oddíl 46)
- velkoobchod se zemědělskými základními surovinami (46.2)","Agricultural products (Drying of…)

Problem statement: Drying is mentioned both in explanatory notes for agriculture and food manufacturing activities.

Solution: UN TSG decision for ISIC Rev.4, applicable also for NACE Rev. 2:

• NACE Rev. 2 class 01.63 (Post-harvest crop activities) includes drying activities where no manufacturing-type equipment is used, for example sun-drying of fruit and vegetables, air-drying of forage plants etc.
• Division 10 (Manufacture of food products) includes industrial drying activities (dehydration by artificial means), according to the product class: NACE Rev. 2 class 10.31 (Processing and preserving of potatoes) includes industrial dehydrating of potatoes, 10.39 (Other processing and preserving of fruit and vegetables) includes industrial dehydrating of other fruit and vegetables etc.

Decision date: 01.07.2007","0163","This class includes:
- preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting
- cotton ginning
- preparation of tobacco leaves, e.g. drying
- preparation of cocoa beans, e.g. peeling
- waxing of fruit
- sun-drying of fruit and vegetables","","This class excludes:
- preparation of agricultural products by the producer, see corresponding class in groups 01.1, 01.2 or 01.3
- post-harvest activities aimed at improving the propagation quality of seed, see 01.64
- stemming and redrying of tobacco, see 12.00
- marketing activities of commission merchants and cooperative associations, see division 46
- wholesale of agricultural raw materials, see 46.2"
"4","01.64","Zpracování osiva pro účely množení","Tato třída zahrnuje všechny posklizňové činnosti prováděné za účelem zlepšování kvality osiva jako odstranění cizích látek, příliš malých, mechanicky nebo hmyzem poškozených nebo nezralých semen a snižování vlhkosti osiva na úroveň vhodnou pro skladování. Tato činnost zahrnuje sušení, čištění, třídění a zacházení s osivem až po prodej. Je zde zahrnuto také nakládání s geneticky modifikovanými osivy.","","N:
- pěstování osiva (01.1, 01.2)
- zpracování semen za účelem získávání oleje (10.41)
- výzkumné činnosti pro účely vývoje nových forem osiva (72.11)","","0164","This class includes all post-harvest activities aimed at improving the propagation quality of seed through the removal of non-seed materials, undersized, mechanically or insect-damaged and immature seeds as well as removing the seed moisture to a safe level for seed storage. This activity includes the drying, cleaning, grading and treating of seeds until they are marketed. The treatment of genetically modified seeds is included here.","","This class excludes:
- growing of seeds, see groups 01.1 and 01.2
- processing of seeds to obtain oil, see 10.41
- research to develop or modify new forms of seeds, see 72.11"
"3","01.7","Lov a odchyt divokých zvířat a související činnosti","","","","","017","","",""
"4","01.70","Lov a odchyt divokých zvířat a související činnosti","Z:
- lov a odchyt divokých zvířat na komerční bázi
- chytání a/nebo zabíjení zvířat za účelem získávání masa, kůží a kožek, pro účely výzkumu, pro zoologické zahrady nebo pro zájmový chov
- získávání surových kožešin, kůží z plazů a ptáků v rámci lovu a odchytu divokých zvířat","ZT:
- lov mořských savců jako mrožů a tuleňů na pevnině","N:
- produkci surových kožešin, kůží z plazů a ptáků na zvířecích farmách (01.49)
- chov divokých zvířat na zvířecích farmách (01.4)
- lov velryb (03.11)
- produkci kůží a kožek na jatkách (10.11)
- sportovní a rekreační lov a činnosti s tím spojené (93.19)
- podpůrné činnosti pro lov a odchyt divoké zvěře (94.99)","","0170","This class includes:
- hunting and trapping on a commercial basis
- taking of animals (dead or alive) for food, fur, skin, or for use in research, in zoos or as pets
- production of fur skins, reptile or bird skins from hunting or trapping activities","This class also includes:
- land-based catching of sea mammals such as walrus and seal","This class excludes:
- production of fur skins, reptile or bird skins from ranching operations, see group 01.49
- raising of game animals on ranching operations, see 01.4
- catching of whales, see 03.11
- production of hides and skins originating from slaughterhouses, see 10.11
- hunting for sport or recreation and related service activities, see 93.19
- service activities to promote hunting and trapping, see 94.99"
"2","02","Lesnictví a těžba dřeva","Tento oddíl zahrnuje produkci kulatiny a sběr a získávání volně rostoucích lesních plodů a materiálů jiných než dřeva. Vedle toho sem patří i lesnické činnosti vedoucí k produktům vyžadujícím pouze drobné opracování, jako je palivové dřevo, dřevěné uhlí nebo dřevo k průmyslovému použití (např. důlní výdřeva, dřevní hmota atd.). Tyto činnosti lze provádět jak v přírodních tak v uměle vysazených lesích.","","Tento oddíl nezahrnuje další zpracování dřeva, které začíná řezáním dřeva na pile a jeho hoblováním (oddíl 16).","","02","This division includes the production of roundwood as well as the extraction and gathering of wild growing non-wood forest products. Besides the production of timber, forestry activities result in products that undergo little processing, such as firewood, charcoal and roundwood used in an unprocessed form (e.g. pit-props, pulpwood etc.). These activities can be carried out in natural or planted forests.","","Excluded is further processing of wood beginning with sawmilling and planning of wood, see division 16."
"3","02.1","Lesní hospodářství a jiné činnosti v oblasti lesnictví","","","","","021","","",""
